avg_finish,champ,conf,g,l,name,perc,poff_g,poff_l,poff_perc,poff_w,sb,t,w,yrs
2.4,2,0,111,43,Greasy Neale,0.594,4,1,0.75,3,0,5,63,10
16.0,0,0,2,1,Al Nesser,0.0,0,0,,0,0,1,0,1
15.0,0,0,19,14,Ted Nesser,0.176,0,0,,0,0,2,3,2
6.8,0,0,41,27,Ernie Nevers,0.308,0,0,,0,0,2,12,4
16.0,0,0,6,3,Frank Nied,0.25,0,0,,0,0,2,1,1
6.0,0,0,38,30,Mike Nixon,0.167,0,0,,0,0,2,6,3
2.4,0,0,156,82,Dick Nolan,0.457,5,3,0.4,2,0,5,69,11
3.0,,,55,37,Mike Nolan,0.327,0,0,,0,,0,18,4
2.1,4,4,342,148,Chuck Noll,0.566,24,8,0.667,16,4,1,193,23
3.7,0,0,34,23,John North,0.324,0,0,,0,0,0,11,3
1.5,,,32,14,Bill O'Brien,0.563,0,0,,0,,0,18,2
4.0,0,0,7,6,Fred O'Connor,0.143,0,0,,0,0,0,1,1
2.3,2,,268,100,Steve Owen,0.602,10,8,0.2,2,,17,151,23
1.5,,,64,23,Chuck Pagano,0.641,6,3,0.5,3,,0,41,4
4.0,0,0,7,3,Mike Palm,0.5,0,0,,0,0,1,3,1
6.0,,,32,27,Chris Palmer,0.156,0,0,,0,,0,5,2
2.5,2,3,303,130,Bill Parcells,0.569,19,8,0.579,11,2,1,172,19
2.4,0,0,164,77,Jack Pardee,0.53,6,5,0.167,1,0,0,87,11
3.2,2,0,188,75,Buddy Parker,0.581,4,1,0.75,3,0,9,104,15
4.0,0,0,94,59,Jack Patera,0.372,0,0,,0,0,0,35,7
2.1,1,1,144,57,Sean Payton,0.604,10,4,0.6,6,1,0,87,9
3.0,0,0,9,6,Pat Peppler,0.333,0,0,,0,0,0,3,1
3.8,0,0,117,75,Ray Perkins,0.359,2,1,0.5,1,0,0,42,8
4.0,0,0,19,18,Bill Peterson,0.053,0,0,,0,0,0,1,2
5.0,0,0,16,12,Richie Petitbon,0.25,0,0,,0,0,0,4,1
4.0,,,13,10,Bobby Petrino,0.231,0,0,,0,,0,3,1
4.0,,,32,22,Mike Pettine,0.313,0,0,,0,,0,10,2
5.0,0,0,50,35,Jimmy Phelan,0.271,0,0,,0,0,2,13,4
3.0,,,52,28,Joe Philbin,0.462,0,0,,0,,0,24,4
2.8,0,0,159,77,Bum Phillips,0.516,7,3,0.571,4,0,0,82,11
2.9,0,0,146,64,Wade Phillips,0.562,6,5,0.167,1,0,0,82,12
10.0,0,0,5,2,Al Pierotti,0.5,0,0,,0,0,1,2,1
8.5,0,0,13,4,Fritz Pollard,0.667,0,0,,0,0,1,8,2
3.2,0,0,47,19,Hampton Pool,0.578,1,1,0.0,0,0,2,26,5
7.7,1,0,31,12,Earl Potteiger,0.556,0,0,,0,0,4,15,3
4.0,0,0,2,0,Ray Prochaska,1.0,0,0,,0,0,0,2,1
3.3,0,0,88,51,Tommy Prothro,0.408,0,0,,0,0,2,35,7
2.0,,,16,8,Dan Quinn,0.5,0,0,,0,,0,8,1
2.4,0,0,70,33,John Ralston,0.507,0,0,,0,0,3,34,5
3.5,0,0,28,16,Buster Ramsey,0.407,0,0,,0,0,1,11,2
4.8,0,0,60,24,Dick Rauch,0.579,0,0,,0,0,3,33,5
2.2,0,1,70,28,John Rauch,0.588,4,2,0.5,2,0,2,40,5
2.7,0,4,357,165,Dan Reeves,0.535,20,9,0.55,11,0,2,190,23
2.2,0,1,272,110,Andy Reid,0.594,20,10,0.5,10,0,1,161,17
3.2,0,0,80,42,Ray Rhodes,0.469,3,2,0.333,1,0,1,37,5
4.0,0,0,27,19,Homer Rice,0.296,0,0,,0,0,0,8,2
4.0,0,0,36,21,Ray Richards,0.4,0,0,,0,0,1,14,3
4.3,0,0,48,34,Mike Riley,0.292,0,0,,0,0,0,14,3
4.5,0,0,23,20,Jim Ringo,0.13,0,0,,0,0,0,3,2
